#{"t_start": 1650667374.651867, "env_id": null}
r,l,t
1.5,20,1.836999
10.0,20,3.632998
0,20,4.478998
0,20,5.581001
9.0,20,6.745958
0,20,8.579656
9.5,20,9.986701
10.0,20,11.161702
1.0,20,12.601709
5.5,20,14.113829
7.5,20,16.306827
9.5,20,19.32483
10.0,20,20.560829
7.0,20,22.071797
0.5,20,23.085705
10.0,20,24.374816
0.5,20,26.070733
0,20,27.576749
5.0,20,28.642921
8.5,20,30.434704
1.0,20,31.896091
0.5,20,33.033106
0,20,33.773496
10.0,20,35.07367
0.5,20,35.95069
0,20,37.070224
0,20,39.305223
9.5,20,41.500223
0,20,42.421984
2.5,20,44.121983
0,20,45.920984
4.0,20,48.059985
10.0,20,49.817985
10.0,20,51.228984
8.5,20,52.342985
0.5,20,53.869986
9.5,20,55.769984
0,20,56.821242
5.0,20,58.580244
9.5,20,59.92624
1.5,20,61.587573
10.0,20,62.661577
3.0,20,63.567572
0,20,64.696572
2.5,20,65.997238
3.5,20,68.268237
0,20,69.751237
10.0,20,70.972238
0.5,20,72.177148
2.0,20,73.262146
